Street Address,Unit #,Latitude,Longitude,Sold Price ($),Sold Date,SqFt,Price/SqFt ($),Property Type,Beds,Baths,Distance (mi),URL
221 Noe St APT 12,Apt 12,37.76553,-122.43285,775000.0,2025-08-15,662.0,1170.69,SINGLE_FAMILY,1.0,1.0,0.33,https://www.zillow.com/homedetails/221-Noe-St-APT-12-San-Francisco-CA-94114/2060418810_zpid/
5050A-50B Walter St,,37.76829,-122.43259,2505000.0,2025-08-19,4308.0,581.48,MULTI_FAMILY,6.0,3.0,0.33,https://www.zillow.com/homedetails/5050A-50B-Walter-St-San-Francisco-CA-94114/453490057_zpid/
153 Noe St,,37.766544,-122.43315,1730000.0,2025-10-14,1988.0,870.22,SINGLE_FAMILY,4.0,2.0,0.34,https://www.zillow.com/homedetails/153-Noe-St-San-Francisco-CA-94114/2108714120_zpid/
34 Steiner St,,37.769897,-122.43141,1620000.0,2025-03-28,1312.0,1234.76,SINGLE_FAMILY,3.0,3.0,0.34,https://www.zillow.com/homedetails/34-Steiner-St-San-Francisco-CA-94117/440619204_zpid/
339 Waller St,,37.771088,-122.429276,1860000.0,2024-12-16,5170.0,359.77,MULTI_FAMILY,10.0,4.0,0.34,https://www.zillow.com/homedetails/339-Waller-St-San-Francisco-CA-94117/2108896865_zpid/
38 Steiner St #303,# 303,37.76991,-122.431564,1600000.0,2025-07-29,1338.0,1195.81,SINGLE_FAMILY,3.0,3.0,0.34,https://www.zillow.com/homedetails/38-Steiner-St-303-San-Francisco-CA-94117/2067948165_zpid/
34-42 Steiner St,,37.769897,-122.43141,1600000.0,2025-07-29,16771.0,95.4,APARTMENT,,9.0,0.34,https://www.zillow.com/homedetails/34-42-Steiner-St-San-Francisco-CA-94117/241583586_zpid/
69 Pond St,,37.76325,-122.43201,1250000.0,2025-08-12,1152.0,1085.07,CONDO,2.0,1.0,0.35,https://www.zillow.com/homedetails/69-Pond-St-San-Francisco-CA-94114/2144611432_zpid/
76 Prosper St,,37.763103,-122.431694,1407000.0,2025-06-20,1072.0,1312.5,CONDO,2.0,2.0,0.35,https://www.zillow.com/homedetails/76-Prosper-St-San-Francisco-CA-94114/2068744463_zpid/
238 Noe St,,37.765236,-122.433395,2285000.0,2025-05-21,7500.0,304.67,MULTI_FAMILY,12.0,0.0,0.36,https://www.zillow.com/homedetails/238-Noe-St-San-Francisco-CA-94114/446858435_zpid/
2299 Market St APT 402,Apt 402,37.764046,-122.43276,1350000.0,2025-04-30,1053.0,1282.05,CONDO,2.0,2.0,0.36,https://www.zillow.com/homedetails/2299-Market-St-APT-402-San-Francisco-CA-94114/124397754_zpid/
267-271 Dorland St,,37.76184,-122.4299,1887500.0,2025-06-18,5969.0,316.22,MULTI_FAMILY,11.0,0.0,0.36,https://www.zillow.com/homedetails/267-271-Dorland-St-San-Francisco-CA-94114/15144157_zpid/
173 Germania St,,37.77044,-122.43123,1315000.0,2025-03-27,992.0,1325.6,CONDO,2.0,1.0,0.36,https://www.zillow.com/homedetails/173-Germania-St-San-Francisco-CA-94117/89237971_zpid/
578 Guerrero St,,37.761826,-122.42413,1390000.0,2025-10-17,3635.0,382.39,MULTI_FAMILY,4.0,4.0,0.36,https://www.zillow.com/homedetails/578-Guerrero-St-San-Francisco-CA-94110/455554541_zpid/
2299 Market St APT 503,Apt 503,37.764072,-122.432816,1530000.0,2025-07-24,969.0,1578.95,CONDO,2.0,2.0,0.36,https://www.zillow.com/homedetails/2299-Market-St-APT-503-San-Francisco-CA-94114/124397805_zpid/
3810-3812 18th St,,37.76149,-122.42875,1650000.0,2025-05-15,4815.0,342.68,MULTI_FAMILY,9.0,6.0,0.36,https://www.zillow.com/homedetails/3810-3812-18th-St-San-Francisco-CA-94114/332859371_zpid/
3812 18th St,,37.761364,-122.42878,1650000.0,2025-05-15,1362.0,1211.45,SINGLE_FAMILY,3.0,2.0,0.37,https://www.zillow.com/homedetails/3812-18th-St-San-Francisco-CA-94114/2081813752_zpid/
370 Waller St #3,# 3,37.771587,-122.429825,1425000.0,2025-09-11,1042.0,1367.56,TOWNHOUSE,2.0,3.0,0.38,https://www.zillow.com/homedetails/370-Waller-St-3-San-Francisco-CA-94117/15079102_zpid/
463-467 Waller St,,37.770847,-122.43126,1470000.0,2025-10-24,4275.0,343.86,MULTI_FAMILY,,7.0,0.38,https://www.zillow.com/homedetails/463-467-Waller-St-San-Francisco-CA-94117/332851756_zpid/
30 Bird St,,37.76212,-122.42283,3840000.0,2025-06-18,2630.0,1460.08,SINGLE_FAMILY,4.0,3.0,0.38,https://www.zillow.com/homedetails/30-Bird-St-San-Francisco-CA-94110/15144049_zpid/
463 Waller St,,37.770847,-122.43126,1470000.0,2025-10-24,1925.0,763.64,SINGLE_FAMILY,3.0,3.0,0.38,https://www.zillow.com/homedetails/463-Waller-St-San-Francisco-CA-94117/2110855774_zpid/
620 Church St,,37.76095,-122.42855,1525000.0,2025-04-02,1200.0,1270.83,SINGLE_FAMILY,2.0,2.0,0.39,https://www.zillow.com/homedetails/620-Church-St-San-Francisco-CA-94114/15144536_zpid/
88 Hoff St APT 108,Apt 108,37.76392,-122.4207,419223.0,2025-12-15,1001.0,418.8,CONDO,1.0,2.0,0.39,https://www.zillow.com/homedetails/88-Hoff-St-APT-108-San-Francisco-CA-94110/53153433_zpid/
47 Potomac St,,37.76996,-122.43271,1150000.0,2025-06-20,1357.0,847.46,CONDO,3.0,1.0,0.39,https://www.zillow.com/homedetails/47-Potomac-St-San-Francisco-CA-94117/59779282_zpid/
422 Waller St,,37.7713,-122.43073,1200000.0,2025-10-27,1100.0,1090.91,CONDO,2.0,1.0,0.39,https://www.zillow.com/homedetails/422-Waller-St-San-Francisco-CA-94117/69818961_zpid/
935 14th St #B,# B,37.767113,-122.43419,935000.0,2025-06-18,777.0,1203.35,CONDO,1.0,1.0,0.39,https://www.zillow.com/homedetails/935-14th-St-B-San-Francisco-CA-94114/452081237_zpid/
935B 14th St,,37.767166,-122.43417,935000.0,2025-06-18,777.0,1203.35,CONDO,1.0,1.0,0.39,https://www.zillow.com/homedetails/935B-14th-St-San-Francisco-CA-94114/82785762_zpid/
22 Beaver St,,37.76524,-122.43417,3350000.0,2025-11-20,4055.0,826.14,SINGLE_FAMILY,5.0,4.0,0.4,https://www.zillow.com/homedetails/22-Beaver-St-San-Francisco-CA-94114/457052989_zpid/
446-448 Waller St,,37.77133,-122.43109,3850000.0,2024-11-20,3600.0,1069.44,MULTI_FAMILY,7.0,0.0,0.4,https://www.zillow.com/homedetails/446-448-Waller-St-San-Francisco-CA-94117/332851697_zpid/
3338 17th St APT 103,Apt 103,37.763596,-122.4207,513000.0,2025-07-31,1034.0,496.13,SINGLE_FAMILY,,,0.4,https://www.zillow.com/homedetails/3338-17th-St-APT-103-San-Francisco-CA-94110/64969134_zpid/
3338 17th St APT 105,Apt 105,37.7636,-122.4207,513000.0,2025-07-31,1376.0,372.82,APARTMENT,1.0,2.0,0.4,https://www.zillow.com/homedetails/3338-17th-St-APT-105-San-Francisco-CA-94110/64969136_zpid/
3338 17th St APT 104,Apt 104,37.7636,-122.4207,516000.0,2025-07-31,1081.0,477.34,APARTMENT,1.0,2.0,0.4,https://www.zillow.com/homedetails/3338-17th-St-APT-104-San-Francisco-CA-94110/64969135_zpid/
3338 17th St APT 108,Apt 108,37.763596,-122.4207,516000.0,2025-07-31,1200.0,430.0,APARTMENT,1.0,1.5,0.4,https://www.zillow.com/homedetails/3338-17th-St-APT-108-San-Francisco-CA-94110/64969138_zpid/
3338 17th St APT 109,Apt 109,37.763596,-122.4207,500500.0,2025-07-31,1008.0,496.53,APARTMENT,1.0,1.5,0.4,https://www.zillow.com/homedetails/3338-17th-St-APT-109-San-Francisco-CA-94110/64969139_zpid/
3338 17th St APT 110,Apt 110,37.763596,-122.4207,446000.0,2025-07-31,900.0,495.56,APARTMENT,1.0,1.5,0.4,https://www.zillow.com/homedetails/3338-17th-St-APT-110-San-Francisco-CA-94110/64969140_zpid/
3338 17th St APT 106,Apt 106,37.7636,-122.4207,516000.0,2025-07-31,1100.0,469.09,APARTMENT,1.0,2.0,0.4,https://www.zillow.com/homedetails/3338-17th-St-APT-106-San-Francisco-CA-94110/64969137_zpid/
3338 17th St APT 202,Apt 202,37.763596,-122.4207,390500.0,2025-07-31,788.0,495.56,SINGLE_FAMILY,,,0.4,https://www.zillow.com/homedetails/3338-17th-St-APT-202-San-Francisco-CA-94110/64969142_zpid/
3338 17th St APT 203,Apt 203,37.763596,-122.4207,513000.0,2025-07-31,1034.0,496.13,SINGLE_FAMILY,,,0.4,https://www.zillow.com/homedetails/3338-17th-St-APT-203-San-Francisco-CA-94110/64969143_zpid/
3338 17th St APT 205,Apt 205,37.763596,-122.4207,513000.0,2025-07-31,1034.0,496.13,SINGLE_FAMILY,,,0.4,https://www.zillow.com/homedetails/3338-17th-St-APT-205-San-Francisco-CA-94110/64969144_zpid/
3338 17th St APT 206,Apt 206,37.763596,-122.4207,516000.0,2025-07-31,1043.0,494.73,SINGLE_FAMILY,,,0.4,https://www.zillow.com/homedetails/3338-17th-St-APT-206-San-Francisco-CA-94110/64969145_zpid/
3338 17th St APT 107,Apt 107,37.7636,-122.4207,513000.0,2025-07-31,1124.0,456.41,APARTMENT,1.0,1.0,0.4,https://www.zillow.com/homedetails/3338-17th-St-APT-107-San-Francisco-CA-94110/59779684_zpid/
3338 17th St APT 102,Apt 102,37.7636,-122.4207,449500.0,2025-07-31,932.0,482.3,APARTMENT,1.0,2.0,0.4,https://www.zillow.com/homedetails/3338-17th-St-APT-102-San-Francisco-CA-94110/64969133_zpid/
3338 17th St APT 204,Apt 204,37.763596,-122.4207,517000.0,2025-07-31,1043.0,495.69,APARTMENT,1.0,1.5,0.4,https://www.zillow.com/homedetails/3338-17th-St-APT-204-San-Francisco-CA-94110/59779685_zpid/
3338 17th St APT 101,Apt 101,37.763596,-122.4207,505000.0,2025-07-31,1017.0,496.56,SINGLE_FAMILY,,,0.4,https://www.zillow.com/homedetails/3338-17th-St-APT-101-San-Francisco-CA-94110/64969132_zpid/
3338 17th St #100A,# 100A,37.763596,-122.4207,1350000.0,2025-07-31,2489.0,542.39,SINGLE_FAMILY,,,0.4,https://www.zillow.com/homedetails/3338-17th-St-100A-San-Francisco-CA-94110/59779683_zpid/
440 Waller St,,37.771275,-122.431,1995000.0,2024-11-20,5280.0,377.84,SINGLE_FAMILY,4.0,2.0,0.4,https://www.zillow.com/homedetails/440-Waller-St-San-Francisco-CA-94117/15079115_zpid/
51 Potomac St,,37.769917,-122.43281,2000000.0,2025-06-20,3299.0,606.24,CONDO,5.0,2.0,0.4,https://www.zillow.com/homedetails/51-Potomac-St-San-Francisco-CA-94117/59779284_zpid/
49 Potomac St,,37.769936,-122.43281,1360000.0,2025-06-17,1450.0,937.93,CONDO,3.0,1.0,0.4,https://www.zillow.com/homedetails/49-Potomac-St-San-Francisco-CA-94117/59779283_zpid/
3338 17th St APT 201,Apt 201,37.763596,-122.4207,501500.0,2025-07-31,1100.0,455.91,APARTMENT,1.0,1.5,0.4,https://www.zillow.com/homedetails/3338-17th-St-APT-201-San-Francisco-CA-94110/64969141_zpid/
537-541 Dolores St,,37.76084,-122.42562,1633750.0,2025-06-26,3949.0,413.71,MULTI_FAMILY,6.0,2.0,0.4,https://www.zillow.com/homedetails/537-541-Dolores-St-San-Francisco-CA-94110/2067405773_zpid/
545 Dolores St,,37.76077,-122.42561,1900000.0,2025-06-27,1774.0,1071.03,CONDO,4.0,4.0,0.4,https://www.zillow.com/homedetails/545-Dolores-St-San-Francisco-CA-94110/15144648_zpid/
