Street Address,Unit #,Latitude,Longitude,Sold Price ($),Sold Date,SqFt,Price/SqFt ($),Property Type,Beds,Baths,Distance (mi),URL
3679-3681 16th St,,37.763885,-122.4348,1570000.0,2025-06-10,2506.0,626.5,MULTI_FAMILY,,2.0,0.46,https://www.zillow.com/homedetails/3679-3681-16th-St-San-Francisco-CA-94114/332859199_zpid/
3671 19th St,,37.759808,-122.42512,1585000.0,2025-06-27,1379.0,1149.38,CONDO,3.0,1.0,0.47,https://www.zillow.com/homedetails/3671-19th-St-San-Francisco-CA-94110/15145012_zpid/
3943 17th St,,37.762356,-122.43388,2000000.0,2025-04-30,1788.0,1118.57,TOWNHOUSE,3.0,2.0,0.47,https://www.zillow.com/homedetails/3943-17th-St-San-Francisco-CA-94114/338980126_zpid/
309C Steiner St #C,# C,37.77198,-122.43212,500000.0,2025-07-22,774.0,645.99,CONDO,2.0,1.0,0.47,https://www.zillow.com/homedetails/309C-Steiner-St-C-San-Francisco-CA-94117/52422770_zpid/
3838 19th St,,37.759933,-122.42918,3200000.0,2025-10-20,2335.0,1370.45,SINGLE_FAMILY,2.0,2.0,0.47,https://www.zillow.com/homedetails/3838-19th-St-San-Francisco-CA-94114/15144549_zpid/
15 Hartford St,,37.762356,-122.43388,1011000.0,2025-09-29,908.0,1113.44,CONDO,2.0,2.0,0.47,https://www.zillow.com/homedetails/15-Hartford-St-San-Francisco-CA-94114/338980127_zpid/
560 Haight St APT 103,Apt 103,37.772213,-122.43152,1470000.0,2024-12-20,1385.0,1061.37,CONDO,2.0,2.0,0.47,https://www.zillow.com/homedetails/560-Haight-St-APT-103-San-Francisco-CA-94117/59700146_zpid/
65 Carmelita St,,37.77008,-122.434555,5650000.0,2026-01-02,3450.0,1637.68,SINGLE_FAMILY,6.0,4.0,0.48,https://www.zillow.com/homedetails/65-Carmelita-St-San-Francisco-CA-94117/332851720_zpid/
212 Castro St,,37.765507,-122.43576,1350000.0,2025-04-16,1599.0,844.28,CONDO,2.0,1.0,0.48,https://www.zillow.com/homedetails/212-Castro-St-San-Francisco-CA-94114/15127083_zpid/
39 Hartford St,,37.76193,-122.43372,1705000.0,2025-12-04,1652.0,1032.08,CONDO,3.0,2.0,0.48,https://www.zillow.com/homedetails/39-Hartford-St-San-Francisco-CA-94114/53153447_zpid/
230 Castro St,,37.765247,-122.43563,2075000.0,2025-09-10,6600.0,314.39,MULTI_FAMILY,6.0,0.0,0.48,https://www.zillow.com/homedetails/230-Castro-St-San-Francisco-CA-94114/2068750283_zpid/
27 Hartford St,,37.76209,-122.43384,1800000.0,2025-08-07,2199.0,818.55,CONDO,3.0,2.0,0.48,https://www.zillow.com/homedetails/27-Hartford-St-San-Francisco-CA-94114/15144389_zpid/
3452 A 18th St #A,# A,37.761894,-122.420525,760000.0,2025-12-19,700.0,1085.71,CONDO,1.0,2.0,0.48,https://www.zillow.com/homedetails/3452-A-18th-St-A-San-Francisco-CA-94110/82785799_zpid/
148 Hancock St,,37.760536,-122.43159,1467000.0,2025-06-18,1161.0,1263.57,CONDO,2.0,2.0,0.48,https://www.zillow.com/homedetails/148-Hancock-St-San-Francisco-CA-94114/15144534_zpid/
3669 19th St,,37.759632,-122.425095,1410000.0,2025-08-01,1196.0,1178.93,CONDO,2.0,1.0,0.49,https://www.zillow.com/homedetails/3669-19th-St-San-Francisco-CA-94110/15145011_zpid/
3872 19th St,,37.759792,-122.42977,4000000.0,2025-05-08,3471.0,1152.41,SINGLE_FAMILY,4.0,4.0,0.49,https://www.zillow.com/homedetails/3872-19th-St-San-Francisco-CA-94114/15144553_zpid/
620 Haight St,,37.772087,-122.43286,2325000.0,2025-12-01,1827.0,1272.58,CONDO,3.0,2.0,0.5,https://www.zillow.com/homedetails/620-Haight-St-San-Francisco-CA-94117/89238424_zpid/
536 Page St #B,# B,37.773453,-122.429634,910000.0,2025-11-25,649.0,1402.16,SINGLE_FAMILY,2.0,2.0,0.5,https://www.zillow.com/homedetails/536-Page-St-B-San-Francisco-CA-94117/458193843_zpid/
309 Steiner St APT C,Apt C,37.77231,-122.43245,1105000.0,2026-02-05,850.0,1300.0,CONDO,2.0,1.0,0.5,https://www.zillow.com/homedetails/309-Steiner-St-APT-C-San-Francisco-CA-94117/2069854902_zpid/
538 Page St #A,# A,37.773453,-122.429634,1300000.0,2026-01-20,1277.0,1018.01,SINGLE_FAMILY,3.0,2.0,0.5,https://www.zillow.com/homedetails/538-Page-St-A-San-Francisco-CA-94117/458193883_zpid/
2328-2332 15th St,,37.765938,-122.436104,1487000.0,2025-05-16,2348.0,633.3,MULTI_FAMILY,,3.0,0.5,https://www.zillow.com/homedetails/2328-2332-15th-St-San-Francisco-CA-94114/332858148_zpid/
3835 19th St,,37.759457,-122.42902,4990000.0,2025-07-16,14283.0,349.37,MULTI_FAMILY,21.0,0.0,0.5,https://www.zillow.com/homedetails/3835-19th-St-San-Francisco-CA-94114/2097557671_zpid/
68 Castro St,,37.767963,-122.43595,3229000.0,2025-09-26,2744.0,1176.75,SINGLE_FAMILY,4.0,3.0,0.5,https://www.zillow.com/homedetails/68-Castro-St-San-Francisco-CA-94114/15126987_zpid/
3700 16th St,,37.76427,-122.435684,3200000.0,2026-02-12,5300.0,603.77,MULTI_FAMILY,8.0,0.0,0.5,https://www.zillow.com/homedetails/3700-16th-St-San-Francisco-CA-94114/2103712381_zpid/
538 Page St #B,# B,37.773453,-122.429634,1805000.0,2025-12-02,1527.0,1182.06,SINGLE_FAMILY,4.0,2.0,0.5,https://www.zillow.com/homedetails/538-Page-St-B-San-Francisco-CA-94117/458193842_zpid/
309 Steiner St APT D,Apt D,37.77231,-122.43245,1950000.0,2025-11-24,1380.0,1413.04,CONDO,3.0,2.0,0.5,https://www.zillow.com/homedetails/309-Steiner-St-APT-D-San-Francisco-CA-94117/61325069_zpid/
655 Haight St,,37.771904,-122.433075,1550000.0,2025-06-24,5625.0,275.56,MULTI_FAMILY,4.0,6.0,0.5,https://www.zillow.com/homedetails/655-Haight-St-San-Francisco-CA-94117/442029540_zpid/
534 Page St,,37.773407,-122.42963,1975000.0,2025-10-21,1763.0,1120.25,SINGLE_FAMILY,4.0,3.0,0.5,https://www.zillow.com/homedetails/534-Page-St-San-Francisco-CA-94117/456762374_zpid/
570 Page St APT 5,Apt 5,37.773342,-122.43017,1530000.0,2024-10-31,1349.0,1134.17,CONDO,2.0,3.0,0.5,https://www.zillow.com/homedetails/570-Page-St-APT-5-San-Francisco-CA-94117/35972027_zpid/
311 Steiner St,,37.77235,-122.43254,1500000.0,2025-03-28,1680.0,892.86,SINGLE_FAMILY,4.0,2.0,0.5,https://www.zillow.com/homedetails/311-Steiner-St-San-Francisco-CA-94117/15078945_zpid/
